<soft> Caption: Universal CRT Redistributable ; InstallDate: 20190326</soft>
<soft> Caption: MAXtoA for 3ds Max 2019 ; InstallDate: 20190214</soft>
<soft> Caption: vs_minshellinteropmsi ; InstallDate: 20190215</soft>
<soft> Caption: Windows SDK Facade Windows WinMD Versioned ; InstallDate: 20190326</soft>
<soft> Caption: vs_filehandler_x86 ; InstallDate: 20190516</soft>
<soft> Caption: PTC Mathcad Prime 5.0.0.0 ; InstallDate: 20191020</soft>
<soft> Caption: Autodesk Material Library Medium Resolution Image Library 2019 ; InstallDate: 20190214</soft>
<soft> Caption: Microsoft Visual Studio 2015 Shell (Minimum) ; InstallDate: 20190404</soft>
<soft> Caption: Службы языка Roslyn - x86 ; InstallDate: 20190404</soft>
<soft> Caption: Пакет SDK для Microsoft .NET Framework 4.7.2 (Русский) ; InstallDate: 20190215</soft>
<soft> Caption: Windows Desktop Extension SDK Contracts ; InstallDate: 20190326</soft>
<soft> Caption: Windows SDK Desktop Libs arm64 ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.60610 False ; InstallDate: 20190217</soft>
<soft> Caption: Windows SDK Facade Windows WinMD Versioned ; InstallDate: 20190507</soft>
<soft> Caption: Windows Phone SDK 8.0 Assemblies for Visual Studio 2019 ; InstallDate: 20190215</soft>
<soft> Caption: Windows Desktop Extension SDK ; InstallDate: 20190326</soft>
<soft> Caption: CA AllFusion Process Modeler r7 ; InstallDate: 20200218</soft>
<soft> Caption: SQL Server 2017 Connection Info ; InstallDate: 20190404</soft>
<soft> Caption: Mathcad 15 M050 ; InstallDate: 20191020</soft>
<soft> Caption: Windows Team Extension SDK ; InstallDate: 20190326</soft>
<soft> Caption: Intel(R) Rapid Storage Technology ; InstallDate: 20190214</soft>
<soft> Caption: Службы SQL Server Integration Services 2012 ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2017 X64 Minimum Runtime - 14.20.27323 ; InstallDate: 20190326</soft>
<soft> Caption: SQL Server 2017 SQL Diagnostics ; InstallDate: 20190404</soft>
<soft> Caption: Intel® PROSet/Wireless WiFi Software ; InstallDate: 20190531</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.0 False ; InstallDate: 20190217</soft>
<soft> Caption: SQL Server 2017 XEvent ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005 False ; InstallDate: 20190217</soft>
<soft> Caption: WinRT Intellisense UAP - en-us ; InstallDate: 20190326</soft>
<soft> Caption: icecap_collectionresources ; InstallDate: 20190516</soft>
<soft> Caption:  Tools for .Net 3.5 ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft .NET Core Host - 2.1.11 (x64) ; InstallDate: 20190516</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161 ; InstallDate: 20190217</soft>
<soft> Caption: Adobe Acrobat DC ; InstallDate: 20200319</soft>
<soft> Caption: Adobe Refresh Manager ; InstallDate: 20200316</soft>
<soft> Caption: SDK ARM Additions ; InstallDate: 20190507</soft>
<soft> Caption: Smart View ; InstallDate: 20200107</soft>
<soft> Caption: Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.51106 False ; InstallDate: 20190217</soft>
<soft> Caption: Universal CRT Tools x86 ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft Azure Libraries for .NET – v2.9 ; InstallDate: 20190215</soft>
<soft> Caption: SQL Server Integration Services 2014 ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual Studio Team Foundation Server 2017 Update 9 Office Integration (x64) ; InstallDate: 20190404</soft>
<soft> Caption: SQL Server Integration Services — одиночный элемент ; InstallDate: 20190404</soft>
<soft> Caption: Windows IoT Extension SDK Contracts ; InstallDate: 20190507</soft>
<soft> Caption: Браузер для SQL Server 2017 ; InstallDate: 20191111</soft>
<soft> Caption: Microsoft .NET Core SDK 2.1.600 - preview (x64) ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.5570 False ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft SQL Server 2012 Native Client  ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161 ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005 False ; InstallDate: 20190217</soft>
<soft> Caption: Windows SDK for Windows Store Apps Tools ; InstallDate: 20190507</soft>
<soft> Caption: Windows SDK for Windows Store Managed Apps Libs ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft Build Tools Language Resources 14.0 (amd64) ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022 False ; InstallDate: 20190217</soft>
<soft> Caption: icecap_collectionresourcesx64 ; InstallDate: 20190516</soft>
<soft> Caption: Microsoft System CLR Types для SQL Server 2019 CTP2.2 ; InstallDate: 20190215</soft>
<soft> Caption: Windows SDK ARM Desktop Tools ; InstallDate: 20190326</soft>
<soft> Caption: vs_clickoncebootstrappermsi ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft Visual Studio Tools for Applications 2015 x64 Hosting Support ; InstallDate: 20190404</soft>
<soft> Caption: WPT Redistributables ; InstallDate: 20190507</soft>
<soft> Caption: Windows SDK for Windows Store Apps ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft SQL Server 2012 Command Line Utilities  ; InstallDate: 20190215</soft>
<soft> Caption: IntelliTraceProfilerProxy ; InstallDate: 20190215</soft>
<soft> Caption: Application Verifier x64 External Package ; InstallDate: 20190507</soft>
<soft> Caption: Kits Configuration Installer ; InstallDate: 20190507</soft>
<soft> Caption: Universal General MIDI DLS Extension SDK ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft .NET Framework 4.6 Targeting Pack ; InstallDate: 20190215</soft>
<soft> Caption: Конструктор пользовательского интерфейса XAML Microsoft Visual Studio 2015 — RUS ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2005 Redistributable - x64 8.0.58298 False ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft NetStandard SDK ; InstallDate: 20190404</soft>
<soft> Caption: Windows SDK AddOn ; InstallDate: 20190326</soft>
<soft> Caption: Windows SDK Desktop Libs x86 ; InstallDate: 20190507</soft>
<soft> Caption: Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030 ; InstallDate: 20190217</soft>
<soft> Caption: Windows App Certification Kit x64 ; InstallDate: 20190507</soft>
<soft> Caption: Autodesk 3ds Max 2019 ; InstallDate: 20190214</soft>
<soft> Caption: Microsoft Visual C++ 2017 X64 Additional Runtime - 14.20.27323 ; InstallDate: 20190326</soft>
<soft> Caption: Windows SDK Desktop Libs x86 ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft ASP.NET Core 2.1.11 Shared Framework (x64) ; InstallDate: 20190516</soft>
<soft> Caption: Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005 ; InstallDate: 20190404</soft>
<soft> Caption: Windows Team Extension SDK Contracts ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Build Tools Language Resources 14.0 (x86) ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2005 Redistributable - x64 8.0.56336 False ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40660 False ; InstallDate: 20190217</soft>
<soft> Caption: Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.60610 False ; InstallDate: 20190217</soft>
<soft> Caption: vs_Graphics_Singletonx86 ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft ASP.NET Core Module V2 for IIS Express ; InstallDate: 20190215</soft>
<soft> Caption: SQL Server 2017 DMF ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729 False ; InstallDate: 20190217</soft>
